ID,SchYear,State,Sport,Boys_Schools,Girls_Schools,Boys_Participation,Girls_Participation
43514,2015/2016,CO,Canoe Paddling,0,0,0,0
43515,2015/2016,CO,Bocce - Outdoor,0,0,0,0
43516,2015/2016,CO,Cycling,0,0,0,0
43517,2015/2016,CO,DANCE,0,0,0,0
43518,2015/2016,CO,"Dance Team, High Kick",0,0,0,0
43519,2015/2016,CO,"Dance Team, Jazz",0,0,0,0
43520,2015/2016,CO,Dance/Drill,0,0,0,0
43521,2015/2016,CO,Decathlon,0,0,0,0
43522,2015/2016,CO,Drill Team,0,0,0,0
43523,2015/2016,CO,Equestrian,0,0,0,0
43524,2015/2016,CO,Fencing,0,0,0,0
43525,2015/2016,CO,Field Hockey,0,13,0,557
43526,2015/2016,CO,Flag Football,0,0,0,0
43527,2015/2016,CO,Football -- 11-Player,214,0,15490,109
43528,2015/2016,CO,Football -- 6-player,38,0,475,1
43529,2015/2016,CO,Football -- 8-player,46,0,780,8
43530,2015/2016,CO,Football -- 9-player,0,0,0,0
43531,2015/2016,CO,Golf,192,163,2224,1689
43532,2015/2016,CO,Gymnastics,0,43,0,545
43533,2015/2016,CO,Heptathlon,0,0,0,0
43534,2015/2016,CO,Ice Hockey,64,0,731,7
43535,2015/2016,CO,Judo,0,0,0,0
43536,2015/2016,CO,Kayaking,0,0,0,0
43537,2015/2016,CO,Lacrosse,108,79,3927,1719
43538,2015/2016,CO,Mixed 6-Coed Volleyball,0,0,0,0
43539,2015/2016,CO,Mt. Biking,0,0,0,0
43540,2015/2016,CO,Native Youth Olympics,0,0,0,0
43541,2015/2016,CO,None,0,0,0,0
43542,2015/2016,CO,Pentathlon,0,0,0,0
43543,2015/2016,CO,Riflery,0,0,0,0
43544,2015/2016,CO,Rodeo,0,0,0,0
43545,2015/2016,CO,RUGBY,0,0,0,0
43546,2015/2016,CO,Rythmic Gymnastics,0,0,0,0
43547,2015/2016,CO,sailing,0,0,0,0
43548,2015/2016,CO,Skiing -- Alpine,14,14,166,147
43549,2015/2016,CO,Skiing -- Cross Country,14,14,167,144
43550,2015/2016,CO,Snowboarding,0,0,0,0
43551,2015/2016,CO,Soccer,220,222,8297,7991
43552,2015/2016,CO,Soft Tennis,0,0,0,0
43553,2015/2016,CO,Softball -- Fast Pitch,0,184,0,3920
43554,2015/2016,CO,Softball -- Slow Pitch,0,0,0,0
43555,2015/2016,CO,Surfing,0,0,0,0
43556,2015/2016,CO,Swimming & Diving,121,145,1969,4287
43557,2015/2016,CO,Synchronized Swimming,0,0,0,0
43558,2015/2016,CO,Team Tennis,0,0,0,0
43559,2015/2016,CO,Tennis,126,151,2970,4763
43560,2015/2016,CO,Track and Field -- Indoor,0,0,0,0
43561,2015/2016,CO,Track and Field -- Outdoor,302,302,10199,7667
43562,2015/2016,CO,Volleyball,0,329,0,9576
43563,2015/2016,CO,Water Polo,0,0,0,0
43564,2015/2016,CO,Weight Lifting,0,0,0,0
43565,2015/2016,CO,Wrestling,235,0,5052,180
43566,2015/2016,ID,Adapted Basketball,0,0,0,0
43567,2015/2016,ID,Adapted Bowling,0,0,0,0
43568,2015/2016,ID,Adapted Floor Hockey,0,0,0,0
43569,2015/2016,ID,Adapted Soccer,0,0,0,0
43570,2015/2016,ID,Adapted Softball,0,0,0,0
43571,2015/2016,ID,Adapted Track,0,0,0,0
43572,2015/2016,ID,Air Riflery,0,0,0,0
43573,2015/2016,ID,Archery,0,0,0,0
43574,2015/2016,ID,Adapted Bocce - Indoor,0,0,0,0
43575,2015/2016,ID,Adapted Volleyball,0,0,0,0
43576,2015/2016,ID,Badminton,0,0,0,0
43577,2015/2016,ID,Baseball,98,0,2441,0
43578,2015/2016,ID,Basketball,149,147,3805,3199
43579,2015/2016,ID,Bowling,0,0,0,0
43580,2015/2016,ID,Competitive Spirit Squad,44,121,120,1449
43581,2015/2016,ID,Crew,0,0,0,0
43582,2015/2016,ID,Cross Country,111,111,1841,1419
43583,2015/2016,ID,Canoe Paddling,0,0,0,0
43584,2015/2016,ID,Bocce - Outdoor,0,0,0,0
43585,2015/2016,ID,Cycling,0,0,0,0
43586,2015/2016,ID,DANCE,0,0,0,0
43587,2015/2016,ID,"Dance Team, High Kick",0,0,0,0
43588,2015/2016,ID,"Dance Team, Jazz",0,0,0,0
43589,2015/2016,ID,Dance/Drill,0,51,9,771
43590,2015/2016,ID,Decathlon,0,0,0,0
43591,2015/2016,ID,Drill Team,0,0,0,0
43592,2015/2016,ID,Equestrian,0,0,0,0
43593,2015/2016,ID,Fencing,0,0,0,0
43594,2015/2016,ID,Field Hockey,0,0,0,0
43595,2015/2016,ID,Flag Football,0,0,0,0
43596,2015/2016,ID,Football -- 11-Player,90,0,6807,18
43597,2015/2016,ID,Football -- 6-player,0,0,0,0
43598,2015/2016,ID,Football -- 8-player,41,0,988,1
43599,2015/2016,ID,Football -- 9-player,0,0,0,0
43600,2015/2016,ID,Golf,88,89,999,578
43601,2015/2016,ID,Gymnastics,0,0,0,0
43602,2015/2016,ID,Heptathlon,0,0,0,0
43603,2015/2016,ID,Ice Hockey,0,0,0,0
43604,2015/2016,ID,Judo,0,0,0,0
43605,2015/2016,ID,Kayaking,0,0,0,0
43606,2015/2016,ID,Lacrosse,0,0,0,0
43607,2015/2016,ID,Mixed 6-Coed Volleyball,0,0,0,0
43608,2015/2016,ID,Mt. Biking,0,0,0,0
43609,2015/2016,ID,Native Youth Olympics,0,0,0,0
43610,2015/2016,ID,None,0,0,0,0
43611,2015/2016,ID,Pentathlon,0,0,0,0
43612,2015/2016,ID,Riflery,0,0,0,0
43613,2015/2016,ID,Rodeo,0,0,0,0
43614,2015/2016,ID,RUGBY,0,0,0,0
43615,2015/2016,ID,Rythmic Gymnastics,0,0,0,0
43616,2015/2016,ID,sailing,0,0,0,0
43617,2015/2016,ID,Skiing -- Alpine,0,0,0,0
43618,2015/2016,ID,Skiing -- Cross Country,0,0,0,0
43619,2015/2016,ID,Snowboarding,0,0,0,0
43620,2015/2016,ID,Soccer,75,76,2098,2153
43621,2015/2016,ID,Soft Tennis,0,0,0,0
43622,2015/2016,ID,Softball -- Fast Pitch,0,97,0,2153
43623,2015/2016,ID,Softball -- Slow Pitch,0,0,0,0
43624,2015/2016,ID,Surfing,0,0,0,0
43625,2015/2016,ID,Swimming & Diving,0,0,0,0
43626,2015/2016,ID,Synchronized Swimming,0,0,0,0
43627,2015/2016,ID,Team Tennis,0,0,0,0
43628,2015/2016,ID,Tennis,54,54,1094,1114
43629,2015/2016,ID,Track and Field -- Indoor,0,0,0,0
43630,2015/2016,ID,Track and Field -- Outdoor,145,144,4648,3437
43631,2015/2016,ID,Volleyball,0,147,0,3541
43632,2015/2016,ID,Water Polo,0,0,0,0
43633,2015/2016,ID,Weight Lifting,0,0,0,0
43634,2015/2016,ID,Wrestling,99,0,2392,41
43635,2015/2016,NM,Adapted Basketball,0,0,0,0
43636,2015/2016,NM,Adapted Bowling,0,0,0,0
43637,2015/2016,NM,Adapted Floor Hockey,0,0,0,0
43638,2015/2016,NM,Adapted Soccer,0,0,0,0
43639,2015/2016,NM,Adapted Softball,0,0,0,0
43640,2015/2016,NM,Adapted Track,0,0,0,0
43641,2015/2016,NM,Air Riflery,0,0,0,0
43642,2015/2016,NM,Archery,0,0,0,0
43643,2015/2016,NM,Adapted Bocce - Indoor,0,0,0,0
43644,2015/2016,NM,Adapted Volleyball,0,0,0,0
43645,2015/2016,NM,Badminton,0,0,0,0
43646,2015/2016,NM,Baseball,108,108,3441,33
43647,2015/2016,NM,Basketball,154,154,4309,3734
43648,2015/2016,NM,Bowling,24,24,220,220
43649,2015/2016,NM,Competitive Spirit Squad,74,74,168,1657
43650,2015/2016,NM,Crew,0,0,0,0
43651,2015/2016,NM,Cross Country,110,110,1542,1304
43652,2015/2016,NM,Canoe Paddling,0,0,0,0
43653,2015/2016,NM,Bocce - Outdoor,0,0,0,0
43654,2015/2016,NM,Cycling,0,0,0,0
43655,2015/2016,NM,DANCE,42,42,20,643
43656,2015/2016,NM,"Dance Team, High Kick",0,0,0,0
43657,2015/2016,NM,"Dance Team, Jazz",0,0,0,0
43658,2015/2016,NM,Dance/Drill,0,0,0,0
43659,2015/2016,NM,Decathlon,0,0,0,0
43660,2015/2016,NM,Drill Team,0,0,0,0
43661,2015/2016,NM,Equestrian,0,0,0,0
43662,2015/2016,NM,Fencing,0,0,0,0
43663,2015/2016,NM,Field Hockey,0,0,0,0
43664,2015/2016,NM,Flag Football,0,0,0,0
43665,2015/2016,NM,Football -- 11-Player,128,128,7203,52
43666,2015/2016,NM,Football -- 6-player,0,0,0,0
43667,2015/2016,NM,Football -- 8-player,0,0,0,0
43668,2015/2016,NM,Football -- 9-player,0,0,0,0
43669,2015/2016,NM,Golf,75,75,668,415
43670,2015/2016,NM,Gymnastics,0,0,0,0
43671,2015/2016,NM,Heptathlon,0,0,0,0
43672,2015/2016,NM,Ice Hockey,0,0,0,0
43673,2015/2016,NM,Judo,0,0,0,0
43674,2015/2016,NM,Kayaking,0,0,0,0
43675,2015/2016,NM,Lacrosse,0,0,0,0
43676,2015/2016,NM,Mixed 6-Coed Volleyball,0,0,0,0
43677,2015/2016,NM,Mt. Biking,0,0,0,0
43678,2015/2016,NM,Native Youth Olympics,0,0,0,0
43679,2015/2016,NM,None,0,0,0,0
43680,2015/2016,NM,Pentathlon,0,0,0,0
43681,2015/2016,NM,Riflery,0,0,0,0
43682,2015/2016,NM,Rodeo,26,26,49,49
43683,2015/2016,NM,RUGBY,0,0,0,0
43684,2015/2016,NM,Rythmic Gymnastics,0,0,0,0
43685,2015/2016,NM,sailing,0,0,0,0
43686,2015/2016,NM,Skiing -- Alpine,0,0,0,0
43687,2015/2016,NM,Skiing -- Cross Country,0,0,0,0
43688,2015/2016,NM,Snowboarding,0,0,0,0
43689,2015/2016,NM,Soccer,71,71,2530,2155
43690,2015/2016,NM,Soft Tennis,0,0,0,0
43691,2015/2016,NM,Softball -- Fast Pitch,0,92,0,2630
43692,2015/2016,NM,Softball -- Slow Pitch,0,0,0,0
43693,2015/2016,NM,Surfing,0,0,0,0
43694,2015/2016,NM,Swimming & Diving,44,44,545,717
43695,2015/2016,NM,Synchronized Swimming,0,0,0,0
43696,2015/2016,NM,Team Tennis,0,0,0,0
43697,2015/2016,NM,Tennis,63,63,795,838
43698,2015/2016,NM,Track and Field -- Indoor,0,0,0,0
43699,2015/2016,NM,Track and Field -- Outdoor,158,158,4362,3582
43700,2015/2016,NM,Volleyball,0,150,0,4014
43701,2015/2016,NM,Water Polo,0,0,0,0
43702,2015/2016,NM,Weight Lifting,0,0,0,0
43703,2015/2016,NM,Wrestling,59,59,1608,68
43704,2015/2016,RI,Adapted Basketball,0,0,0,0
43705,2015/2016,RI,Adapted Bowling,0,0,0,0
43706,2015/2016,RI,Adapted Floor Hockey,0,0,0,0
43707,2015/2016,RI,Adapted Soccer,0,0,0,0
43708,2015/2016,RI,Adapted Softball,0,0,0,0
43709,2015/2016,RI,Adapted Track,0,0,0,0
43710,2015/2016,RI,Air Riflery,0,0,0,0
43711,2015/2016,RI,Archery,0,0,0,0
43712,2015/2016,RI,Adapted Bocce - Indoor,0,0,0,0
43713,2015/2016,RI,Adapted Volleyball,0,0,0,0
43714,2015/2016,RI,Badminton,0,0,0,0
43715,2015/2016,RI,Baseball,48,0,1487,2
43716,2015/2016,RI,Basketball,49,49,1496,986
43717,2015/2016,RI,Bowling,0,0,0,0
43718,2015/2016,RI,Competitive Spirit Squad,0,29,12,392
43719,2015/2016,RI,Crew,0,0,0,0
43720,2015/2016,RI,Cross Country,47,48,963,629
43721,2015/2016,RI,Canoe Paddling,0,0,0,0
43722,2015/2016,RI,Bocce - Outdoor,0,0,0,0
43723,2015/2016,RI,Cycling,0,0,0,0
43724,2015/2016,RI,DANCE,0,0,0,0
43725,2015/2016,RI,"Dance Team, High Kick",0,0,0,0
43726,2015/2016,RI,"Dance Team, Jazz",0,0,0,0
43727,2015/2016,RI,Dance/Drill,0,0,0,0
43728,2015/2016,RI,Decathlon,0,0,0,0
43729,2015/2016,RI,Drill Team,0,0,0,0
43730,2015/2016,RI,Equestrian,0,0,0,0
43731,2015/2016,RI,Fencing,0,0,0,0
43732,2015/2016,RI,Field Hockey,0,22,0,724
43733,2015/2016,RI,Flag Football,0,0,0,0
43734,2015/2016,RI,Football -- 11-Player,43,0,2879,18
43735,2015/2016,RI,Football -- 6-player,0,0,0,0
43736,2015/2016,RI,Football -- 8-player,0,0,0,0
43737,2015/2016,RI,Football -- 9-player,0,0,0,0
43738,2015/2016,RI,Golf,39,1,417,91
43739,2015/2016,RI,Gymnastics,0,13,0,169
43740,2015/2016,RI,Heptathlon,0,0,0,0
43741,2015/2016,RI,Ice Hockey,28,8,827,242
43742,2015/2016,RI,Judo,0,0,0,0
43743,2015/2016,RI,Kayaking,0,0,0,0
43744,2015/2016,RI,Lacrosse,31,34,1149,1218
43745,2015/2016,RI,Mixed 6-Coed Volleyball,0,0,0,0
43746,2015/2016,RI,Mt. Biking,0,0,0,0
43747,2015/2016,RI,Native Youth Olympics,0,0,0,0
43748,2015/2016,RI,None,0,0,0,0
43749,2015/2016,RI,Pentathlon,0,0,0,0
43750,2015/2016,RI,Riflery,0,0,0,0
43751,2015/2016,RI,Rodeo,0,0,0,0
43752,2015/2016,RI,RUGBY,0,0,0,0
43753,2015/2016,RI,Rythmic Gymnastics,0,0,0,0
43754,2015/2016,RI,sailing,0,0,0,0
43755,2015/2016,RI,Skiing -- Alpine,0,0,0,0
43756,2015/2016,RI,Skiing -- Cross Country,0,0,0,0
43757,2015/2016,RI,Snowboarding,0,0,0,0
43758,2015/2016,RI,Soccer,47,46,1795,1476
43759,2015/2016,RI,Soft Tennis,0,0,0,0
43760,2015/2016,RI,Softball -- Fast Pitch,0,49,0,1022
43761,2015/2016,RI,Softball -- Slow Pitch,0,0,0,0
43762,2015/2016,RI,Surfing,0,0,0,0
43763,2015/2016,RI,Swimming & Diving,23,28,377,536
43764,2015/2016,RI,Synchronized Swimming,0,0,0,0
43765,2015/2016,RI,Team Tennis,0,0,0,0
43766,2015/2016,RI,Tennis,39,43,696,889
43767,2015/2016,RI,Track and Field -- Indoor,38,38,1402,1410
43768,2015/2016,RI,Track and Field -- Outdoor,44,44,1495,1488
43769,2015/2016,RI,Volleyball,28,42,591,1081
43770,2015/2016,RI,Water Polo,0,0,0,0
43771,2015/2016,RI,Weight Lifting,0,0,0,0
43772,2015/2016,RI,Wrestling,34,0,781,18
43773,2015/2016,WY,Adapted Basketball,0,0,0,0
43774,2015/2016,WY,Adapted Bowling,0,0,0,0
43775,2015/2016,WY,Adapted Floor Hockey,0,0,0,0
43776,2015/2016,WY,Adapted Soccer,0,0,0,0
43777,2015/2016,WY,Adapted Softball,0,0,0,0
43778,2015/2016,WY,Adapted Track,0,0,0,0
43779,2015/2016,WY,Air Riflery,0,0,0,0
43780,2015/2016,WY,Archery,0,0,0,0
43781,2015/2016,WY,Adapted Bocce - Indoor,0,0,0,0
43782,2015/2016,WY,Adapted Volleyball,0,0,0,0
43783,2015/2016,WY,Badminton,0,0,0,0
43784,2015/2016,WY,Baseball,0,0,0,0
43785,2015/2016,WY,Basketball,70,70,1748,1604
43786,2015/2016,WY,Bowling,0,0,0,0
43787,2015/2016,WY,Competitive Spirit Squad,33,33,34,540
43788,2015/2016,WY,Crew,0,0,0,0
43789,2015/2016,WY,Cross Country,42,42,609,419
43790,2015/2016,WY,Canoe Paddling,0,0,0,0
43791,2015/2016,WY,Bocce - Outdoor,0,0,0,0
43792,2015/2016,WY,Cycling,0,0,0,0
43793,2015/2016,WY,DANCE,20,20,3,211
43794,2015/2016,WY,"Dance Team, High Kick",0,0,0,0
43795,2015/2016,WY,"Dance Team, Jazz",0,0,0,0
43796,2015/2016,WY,Dance/Drill,0,0,0,0
43797,2015/2016,WY,Decathlon,0,0,0,0
43798,2015/2016,WY,Drill Team,0,0,0,0
43799,2015/2016,WY,Equestrian,0,0,0,0
43800,2015/2016,WY,Fencing,0,0,0,0
43801,2015/2016,WY,Field Hockey,0,0,0,0
43802,2015/2016,WY,Flag Football,0,0,0,0
43803,2015/2016,WY,Football -- 11-Player,54,5,2613,5
43804,2015/2016,WY,Football -- 6-player,13,1,188,2
43805,2015/2016,WY,Football -- 8-player,0,0,0,0
43806,2015/2016,WY,Football -- 9-player,0,0,0,0
43807,2015/2016,WY,Golf,38,38,555,196
43808,2015/2016,WY,Gymnastics,0,0,0,0
43809,2015/2016,WY,Heptathlon,0,0,0,0
43810,2015/2016,WY,Ice Hockey,0,0,0,0
43811,2015/2016,WY,Judo,0,0,0,0
43812,2015/2016,WY,Kayaking,0,0,0,0
43813,2015/2016,WY,Lacrosse,0,0,0,0
43814,2015/2016,WY,Mixed 6-Coed Volleyball,0,0,0,0
43815,2015/2016,WY,Mt. Biking,0,0,0,0
43816,2015/2016,WY,Native Youth Olympics,0,0,0,0
43817,2015/2016,WY,None,0,0,0,0
43818,2015/2016,WY,Pentathlon,0,0,0,0
43819,2015/2016,WY,Riflery,0,0,0,0
43820,2015/2016,WY,Rodeo,0,0,0,0
43821,2015/2016,WY,RUGBY,0,0,0,0
43822,2015/2016,WY,Rythmic Gymnastics,0,0,0,0
43823,2015/2016,WY,sailing,0,0,0,0
43824,2015/2016,WY,Skiing -- Alpine,6,6,59,76
43825,2015/2016,WY,Skiing -- Cross Country,7,7,95,63
43826,2015/2016,WY,Snowboarding,0,0,0,0
43827,2015/2016,WY,Soccer,24,24,927,873
43828,2015/2016,WY,Soft Tennis,0,0,0,0
43829,2015/2016,WY,Softball -- Fast Pitch,0,0,0,0
43830,2015/2016,WY,Softball -- Slow Pitch,0,0,0,0
43831,2015/2016,WY,Surfing,0,0,0,0
43832,2015/2016,WY,Swimming & Diving,23,24,432,538
43833,2015/2016,WY,Synchronized Swimming,0,0,0,0
43834,2015/2016,WY,Team Tennis,0,0,0,0
43835,2015/2016,WY,Tennis,16,16,268,270
43836,2015/2016,WY,Track and Field -- Indoor,23,23,622,507
43837,2015/2016,WY,Track and Field -- Outdoor,72,72,1756,1309
43838,2015/2016,WY,Volleyball,0,68,0,1823
43839,2015/2016,WY,Water Polo,0,0,0,0
43840,2015/2016,WY,Weight Lifting,0,0,0,0
43841,2015/2016,WY,Wrestling,51,11,1153,13
43842,2015/2016,AL,Adapted Basketball,0,0,0,0
43843,2015/2016,AL,Adapted Bowling,0,0,0,0
43844,2015/2016,AL,Adapted Floor Hockey,0,0,0,0
43845,2015/2016,AL,Adapted Soccer,0,0,0,0
43846,2015/2016,AL,Adapted Softball,0,0,0,0
43847,2015/2016,AL,Adapted Track,0,0,0,0
43848,2015/2016,AL,Air Riflery,0,0,0,0
43849,2015/2016,AL,Archery,0,0,0,0
43850,2015/2016,AL,Adapted Bocce - Indoor,0,0,0,0
43851,2015/2016,AL,Adapted Volleyball,0,0,0,0
43852,2015/2016,AL,Badminton,0,0,0,0
43853,2015/2016,AL,Baseball,391,0,12313,0
43854,2015/2016,AL,Basketball,406,406,13371,8757
43855,2015/2016,AL,Bowling,60,60,569,416
43856,2015/2016,AL,Competitive Spirit Squad,0,0,0,0
43857,2015/2016,AL,Crew,0,0,0,0
43858,2015/2016,AL,Cross Country,256,256,3487,2546
43859,2015/2016,AL,Canoe Paddling,0,0,0,0
43860,2015/2016,AL,Bocce - Outdoor,0,0,0,0
43861,2015/2016,AL,Cycling,0,0,0,0
43862,2015/2016,AL,DANCE,0,0,0,0
43863,2015/2016,AL,"Dance Team, High Kick",0,0,0,0
43864,2015/2016,AL,"Dance Team, Jazz",0,0,0,0
43865,2015/2016,AL,Dance/Drill,0,0,0,0
43866,2015/2016,AL,Decathlon,30,0,88,0
43867,2015/2016,AL,Drill Team,0,0,0,0
43868,2015/2016,AL,Equestrian,0,0,0,0
43869,2015/2016,AL,Fencing,0,0,0,0
43870,2015/2016,AL,Field Hockey,0,0,0,0
43871,2015/2016,AL,Flag Football,0,0,0,0
43872,2015/2016,AL,Football -- 11-Player,384,0,32592,0
43873,2015/2016,AL,Football -- 6-player,0,0,0,0
43874,2015/2016,AL,Football -- 8-player,0,0,0,0
43875,2015/2016,AL,Football -- 9-player,0,0,0,0
43876,2015/2016,AL,Golf,286,241,1820,700
43877,2015/2016,AL,Gymnastics,0,0,0,0
43878,2015/2016,AL,Heptathlon,0,30,0,66
43879,2015/2016,AL,Ice Hockey,0,0,0,0
43880,2015/2016,AL,Judo,0,0,0,0
43881,2015/2016,AL,Kayaking,0,0,0,0
43882,2015/2016,AL,Lacrosse,0,0,0,0
43883,2015/2016,AL,Mixed 6-Coed Volleyball,0,0,0,0
43884,2015/2016,AL,Mt. Biking,0,0,0,0
43885,2015/2016,AL,Native Youth Olympics,0,0,0,0
43886,2015/2016,AL,None,0,0,0,0
43887,2015/2016,AL,Pentathlon,0,0,0,0
43888,2015/2016,AL,Riflery,0,0,0,0
43889,2015/2016,AL,Rodeo,0,0,0,0
43890,2015/2016,AL,RUGBY,0,0,0,0
43891,2015/2016,AL,Rythmic Gymnastics,0,0,0,0
43892,2015/2016,AL,sailing,0,0,0,0
43893,2015/2016,AL,Skiing -- Alpine,0,0,0,0
43894,2015/2016,AL,Skiing -- Cross Country,0,0,0,0
43895,2015/2016,AL,Snowboarding,0,0,0,0
43896,2015/2016,AL,Soccer,177,166,5740,4439
43897,2015/2016,AL,Soft Tennis,0,0,0,0
43898,2015/2016,AL,Softball -- Fast Pitch,0,380,0,9330
43899,2015/2016,AL,Softball -- Slow Pitch,0,0,0,0
43900,2015/2016,AL,Surfing,0,0,0,0
43901,2015/2016,AL,Swimming & Diving,56,72,564,771
43902,2015/2016,AL,Synchronized Swimming,0,0,0,0
43903,2015/2016,AL,Team Tennis,0,0,0,0
43904,2015/2016,AL,Tennis,169,173,1454,1749
43905,2015/2016,AL,Track and Field -- Indoor,165,165,2470,1602
43906,2015/2016,AL,Track and Field -- Outdoor,354,354,7699,5087
43907,2015/2016,AL,Volleyball,0,384,0,9348
43908,2015/2016,AL,Water Polo,0,0,0,0
43909,2015/2016,AL,Weight Lifting,0,0,0,0
43910,2015/2016,AL,Wrestling,115,0,2719,0
43911,2015/2016,MA,Adapted Basketball,0,0,0,0
43912,2015/2016,MA,Adapted Bowling,0,0,0,0
43913,2015/2016,MA,Adapted Floor Hockey,0,0,0,0
43914,2015/2016,MA,Adapted Soccer,0,0,0,0
43915,2015/2016,MA,Adapted Softball,0,0,0,0
43916,2015/2016,MA,Adapted Track,0,0,0,0
43917,2015/2016,MA,Air Riflery,0,0,0,0
43918,2015/2016,MA,Archery,0,0,0,0
43919,2015/2016,MA,Adapted Bocce - Indoor,0,0,0,0
43920,2015/2016,MA,Adapted Volleyball,0,0,0,0
43921,2015/2016,MA,Badminton,0,0,0,0
43922,2015/2016,MA,Baseball,355,0,12720,3
43923,2015/2016,MA,Basketball,367,365,12599,9289
43924,2015/2016,MA,Bowling,0,0,0,0
43925,2015/2016,MA,Competitive Spirit Squad,0,0,0,0
43926,2015/2016,MA,Crew,0,0,0,0
43927,2015/2016,MA,Cross Country,310,305,6939,6063
43928,2015/2016,MA,Canoe Paddling,0,0,0,0
43929,2015/2016,MA,Bocce - Outdoor,0,0,0,0
43930,2015/2016,MA,Cycling,0,0,0,0
43931,2015/2016,MA,DANCE,0,0,0,0
43932,2015/2016,MA,"Dance Team, High Kick",0,0,0,0
43933,2015/2016,MA,"Dance Team, Jazz",0,0,0,0
43934,2015/2016,MA,Dance/Drill,0,0,0,0
43935,2015/2016,MA,Decathlon,0,0,0,0
43936,2015/2016,MA,Drill Team,0,0,0,0
43937,2015/2016,MA,Equestrian,0,0,0,0
43938,2015/2016,MA,Fencing,0,0,0,0
43939,2015/2016,MA,Field Hockey,0,218,33,7694
43940,2015/2016,MA,Flag Football,0,0,0,0
43941,2015/2016,MA,Football -- 11-Player,328,0,19756,55
43942,2015/2016,MA,Football -- 6-player,0,0,0,0
43943,2015/2016,MA,Football -- 8-player,0,0,0,0
43944,2015/2016,MA,Football -- 9-player,0,0,0,0
43945,2015/2016,MA,Golf,296,33,4352,616
43946,2015/2016,MA,Gymnastics,8,106,167,1207
43947,2015/2016,MA,Heptathlon,0,0,0,0
43948,2015/2016,MA,Ice Hockey,277,147,7262,2268
43949,2015/2016,MA,Judo,0,0,0,0
43950,2015/2016,MA,Kayaking,0,0,0,0
43951,2015/2016,MA,Lacrosse,236,213,9312,7812
43952,2015/2016,MA,Mixed 6-Coed Volleyball,0,0,0,0
43953,2015/2016,MA,Mt. Biking,0,0,0,0
43954,2015/2016,MA,Native Youth Olympics,0,0,0,0
43955,2015/2016,MA,None,0,0,0,0
43956,2015/2016,MA,Pentathlon,0,0,0,0
43957,2015/2016,MA,Riflery,0,0,0,0
43958,2015/2016,MA,Rodeo,0,0,0,0
43959,2015/2016,MA,RUGBY,0,0,0,0
43960,2015/2016,MA,Rythmic Gymnastics,0,0,0,0
43961,2015/2016,MA,sailing,0,0,0,0
43962,2015/2016,MA,Skiing -- Alpine,83,73,992,846
43963,2015/2016,MA,Skiing -- Cross Country,21,20,294,329
43964,2015/2016,MA,Snowboarding,0,0,0,0
43965,2015/2016,MA,Soccer,380,356,14056,12911
43966,2015/2016,MA,Soft Tennis,0,0,0,0
43967,2015/2016,MA,Softball -- Fast Pitch,0,352,0,9524
43968,2015/2016,MA,Softball -- Slow Pitch,0,0,0,0
43969,2015/2016,MA,Surfing,0,0,0,0
43970,2015/2016,MA,Swimming & Diving,217,224,2796,4237
43971,2015/2016,MA,Synchronized Swimming,0,0,0,0
43972,2015/2016,MA,Team Tennis,0,0,0,0
43973,2015/2016,MA,Tennis,239,249,3658,4500
43974,2015/2016,MA,Track and Field -- Indoor,264,262,10068,9636
43975,2015/2016,MA,Track and Field -- Outdoor,326,323,14221,13761
43976,2015/2016,MA,Volleyball,109,295,2539,9600
43977,2015/2016,MA,Water Polo,0,0,0,0
43978,2015/2016,MA,Weight Lifting,0,0,0,0
43979,2015/2016,MA,Wrestling,215,0,3986,154
43980,2015/2016,WI,Adapted Basketball,0,0,0,0
43981,2015/2016,WI,Adapted Bowling,0,0,0,0
43982,2015/2016,WI,Adapted Floor Hockey,0,0,0,0
43983,2015/2016,WI,Adapted Soccer,0,0,0,0
43984,2015/2016,WI,Adapted Softball,0,0,0,0
43985,2015/2016,WI,Adapted Track,0,0,0,0
43986,2015/2016,WI,Air Riflery,0,0,0,0
43987,2015/2016,WI,Archery,0,0,0,0
43988,2015/2016,WI,Adapted Bocce - Indoor,0,0,0,0
43989,2015/2016,WI,Adapted Volleyball,0,0,0,0
43990,2015/2016,WI,Badminton,0,0,0,0
43991,2015/2016,WI,Baseball,436,0,12736,0
43992,2015/2016,WI,Basketball,481,466,14448,10955
43993,2015/2016,WI,Bowling,0,0,0,0
43994,2015/2016,WI,Competitive Spirit Squad,0,0,0,0
43995,2015/2016,WI,Crew,0,0,0,0
43996,2015/2016,WI,Cross Country,398,395,6959,6340
43997,2015/2016,WI,Canoe Paddling,0,0,0,0
43998,2015/2016,WI,Bocce - Outdoor,0,0,0,0
43999,2015/2016,WI,Cycling,0,0,0,0
44000,2015/2016,WI,DANCE,0,0,0,0
44001,2015/2016,WI,"Dance Team, High Kick",0,0,0,0
44002,2015/2016,WI,"Dance Team, Jazz",0,0,0,0
44003,2015/2016,WI,Dance/Drill,0,0,0,0
44004,2015/2016,WI,Decathlon,0,0,0,0
44005,2015/2016,WI,Drill Team,0,0,0,0
44006,2015/2016,WI,Equestrian,0,0,0,0
44007,2015/2016,WI,Fencing,0,0,0,0
44008,2015/2016,WI,Field Hockey,0,0,0,0
44009,2015/2016,WI,Flag Football,0,0,0,0
44010,2015/2016,WI,Football -- 11-Player,408,0,26502,0
