ID,SchYear,State,Sport,Boys_Schools,Girls_Schools,Boys_Participation,Girls_Participation
42803,2015/2016,KS,Softball -- Fast Pitch,0,226,0,4938
42804,2015/2016,KS,Softball -- Slow Pitch,0,0,0,0
42805,2015/2016,KS,Surfing,0,0,0,0
42806,2015/2016,KS,Swimming & Diving,70,79,1551,1971
42807,2015/2016,KS,Synchronized Swimming,0,0,0,0
42808,2015/2016,KS,Team Tennis,0,0,0,0
42809,2015/2016,KS,Tennis,125,141,2392,2831
42810,2015/2016,KS,Track and Field -- Indoor,0,0,0,0
42811,2015/2016,KS,Track and Field -- Outdoor,342,343,9917,6990
42812,2015/2016,KS,Volleyball,0,349,0,8956
42813,2015/2016,KS,Water Polo,0,0,0,0
42814,2015/2016,KS,Weight Lifting,0,0,0,0
42815,2015/2016,KS,Wrestling,218,0,5008,111
42816,2015/2016,NJ,Adapted Volleyball,0,0,0,0
42817,2015/2016,SD,Adapted Basketball,0,0,0,0
42818,2015/2016,SD,Adapted Bowling,0,0,0,0
42819,2015/2016,SD,Adapted Floor Hockey,0,0,0,0
42820,2015/2016,SD,Adapted Soccer,0,0,0,0
42821,2015/2016,SD,Adapted Softball,0,0,0,0
42822,2015/2016,SD,Adapted Track,0,0,0,0
42823,2015/2016,SD,Air Riflery,0,0,0,0
42824,2015/2016,SD,Archery,0,0,0,0
42825,2015/2016,SD,Adapted Bocce - Indoor,0,0,0,0
42826,2015/2016,SD,Adapted Volleyball,0,0,0,0
42827,2015/2016,SD,Badminton,0,0,0,0
42828,2015/2016,SD,Baseball,0,0,0,0
42829,2015/2016,SD,Basketball,174,172,3559,2701
42830,2015/2016,SD,Bowling,0,0,0,0
42831,2015/2016,SD,Competitive Spirit Squad,0,38,0,709
42832,2015/2016,SD,Crew,0,0,0,0
42833,2015/2016,SD,Cross Country,150,135,992,786
42834,2015/2016,SD,Canoe Paddling,0,0,0,0
42835,2015/2016,SD,Bocce - Outdoor,0,0,0,0
42836,2015/2016,SD,Cycling,0,0,0,0
42837,2015/2016,SD,DANCE,0,0,0,0
42838,2015/2016,SD,"Dance Team, High Kick",0,0,0,0
42839,2015/2016,SD,"Dance Team, Jazz",0,0,0,0
42840,2015/2016,SD,Dance/Drill,0,0,0,0
42841,2015/2016,SD,Decathlon,0,0,0,0
42842,2015/2016,SD,Drill Team,0,0,0,0
42843,2015/2016,SD,Equestrian,0,0,0,0
42844,2015/2016,SD,Fencing,0,0,0,0
42845,2015/2016,SD,Field Hockey,0,0,0,0
42846,2015/2016,SD,Flag Football,0,0,0,0
42847,2015/2016,SD,Football -- 11-Player,65,4,3199,6
42848,2015/2016,SD,Football -- 6-player,0,0,0,0
42849,2015/2016,SD,Football -- 8-player,0,0,0,0
42850,2015/2016,SD,Football -- 9-player,103,5,2055,51
42851,2015/2016,SD,Golf,133,114,1023,606
42852,2015/2016,SD,Gymnastics,0,33,0,244
42853,2015/2016,SD,Heptathlon,0,0,0,0
42854,2015/2016,SD,Ice Hockey,0,0,0,0
42855,2015/2016,SD,Judo,0,0,0,0
42856,2015/2016,SD,Kayaking,0,0,0,0
42857,2015/2016,SD,Lacrosse,0,0,0,0
42858,2015/2016,SD,Mixed 6-Coed Volleyball,0,0,0,0
